moneda_base,moneda_destino,valor_compra,valor_venta,data_hora
USD,BRL,5.65847,5.67283,2025-05-18 23:43:42
EUR,BRL,6.32911,6.34518,2025-05-18 23:43:42
BTC,BRL,602176.0,602177.0,2025-05-18 23:45:31
USD,BRL,5.65593,5.67028,2025-05-18 23:50:40
EUR,BRL,6.32511,6.34115,2025-05-18 23:50:40
BTC,BRL,604519.0,604523.0,2025-05-18 23:50:48
USD,BRL,5.65867,5.67304,2025-05-18 23:55:09
EUR,BRL,6.32911,6.34518,2025-05-18 23:55:09
BTC,BRL,605027.0,605028.0,2025-05-18 23:55:54
USD,BRL,5.65804,5.6724,2025-05-19 00:10:56
EUR,BRL,6.32911,6.34518,2025-05-19 00:10:56
BTC,BRL,605444.0,605446.0,2025-05-19 00:11:28
USD,BRL,5.6598,5.6628,2025-05-19 12:02:29
EUR,BRL,6.37349,6.38978,2025-05-19 12:02:21
BTC,BRL,584450.0,584451.0,2025-05-19 12:02:30
USD,BRL,5.6446,5.6476,2025-05-19 21:54:27
EUR,BRL,6.34115,6.35728,2025-05-19 21:53:45
BTC,BRL,597023,597059,2025-05-19 21:55:40
